#map	level_1	level_2	level_3
map05310	Human Diseases	Immune disease	Asthma
map05322	Human Diseases	Immune disease	Systemic lupus erythematosus
map05323	Human Diseases	Immune disease	Rheumatoid arthritis
map05320	Human Diseases	Immune disease	Autoimmune thyroid disease
map05321	Human Diseases	Immune disease	Inflammatory bowel disease (IBD)
map05330	Human Diseases	Immune disease	Allograft rejection
map05332	Human Diseases	Immune disease	Graft-versus-host disease
map05340	Human Diseases	Immune disease	Primary immunodeficiency
map05010	Human Diseases	Neurodegenerative disease	Alzheimer disease
map05012	Human Diseases	Neurodegenerative disease	Parkinson disease
map05014	Human Diseases	Neurodegenerative disease	Amyotrophic lateral sclerosis (ALS)
map05016	Human Diseases	Neurodegenerative disease	Huntington disease
map05017	Human Diseases	Neurodegenerative disease	Spinocerebellar ataxia
map05020	Human Diseases	Neurodegenerative disease	Prion diseases
map05030	Human Diseases	Substance dependence	Cocaine addiction
map05031	Human Diseases	Substance dependence	Amphetamine addiction
map05032	Human Diseases	Substance dependence	Morphine addiction
map05033	Human Diseases	Substance dependence	Nicotine addiction
map05034	Human Diseases	Substance dependence	Alcoholism
map05418	Human Diseases	Cardiovascular disease	Fluid shear stress and atherosclerosis
map05410	Human Diseases	Cardiovascular disease	Hypertrophic cardiomyopathy (HCM)
map05412	Human Diseases	Cardiovascular disease	Arrhythmogenic right ventricular cardiomyopathy (ARVC)
map05414	Human Diseases	Cardiovascular disease	Dilated cardiomyopathy (DCM)
map05416	Human Diseases	Cardiovascular disease	Viral myocarditis
map04930	Human Diseases	Endocrine and metabolic disease	Type II diabetes mellitus
map04940	Human Diseases	Endocrine and metabolic disease	Type I diabetes mellitus
map04950	Human Diseases	Endocrine and metabolic disease	Maturity onset diabetes of the young
map04932	Human Diseases	Endocrine and metabolic disease	Non-alcoholic fatty liver disease (NAFLD)
map04931	Human Diseases	Endocrine and metabolic disease	Insulin resistance
map04933	Human Diseases	Endocrine and metabolic disease	AGE-RAGE signaling pathway in diabetic complications
map04934	Human Diseases	Endocrine and metabolic disease	Cushing syndrome
map05110	Human Diseases	Infectious disease: bacterial	Vibrio cholerae infection
map05120	Human Diseases	Infectious disease: bacterial	Epithelial cell signaling in Helicobacter pylori infection
map05130	Human Diseases	Infectious disease: bacterial	Pathogenic Escherichia coli infection
map05132	Human Diseases	Infectious disease: bacterial	Salmonella infection
map05131	Human Diseases	Infectious disease: bacterial	Shigellosis
map05135	Human Diseases	Infectious disease: bacterial	Yersinia infection
map05133	Human Diseases	Infectious disease: bacterial	Pertussis
map05134	Human Diseases	Infectious disease: bacterial	Legionellosis
map05150	Human Diseases	Infectious disease: bacterial	Staphylococcus aureus infection
map05152	Human Diseases	Infectious disease: bacterial	Tuberculosis
map05100	Human Diseases	Infectious disease: bacterial	Bacterial invasion of epithelial cells
map05166	Human Diseases	Infectious disease: viral	Human T-cell leukemia virus 1 infection
map05170	Human Diseases	Infectious disease: viral	Human immunodeficiency virus 1 infection
map05162	Human Diseases	Infectious disease: viral	Measles
map05164	Human Diseases	Infectious disease: viral	Influenza A
map05161	Human Diseases	Infectious disease: viral	Hepatitis B
map05160	Human Diseases	Infectious disease: viral	Hepatitis C
map05168	Human Diseases	Infectious disease: viral	Herpes simplex virus 1 infection
map05163	Human Diseases	Infectious disease: viral	Human cytomegalovirus infection
map05167	Human Diseases	Infectious disease: viral	Kaposi sarcoma-associated herpesvirus infection
map05169	Human Diseases	Infectious disease: viral	Epstein-Barr virus infection
map05165	Human Diseases	Infectious disease: viral	Human papillomavirus infection
map05146	Human Diseases	Infectious disease: parasitic	Amoebiasis
map05144	Human Diseases	Infectious disease: parasitic	Malaria
map05145	Human Diseases	Infectious disease: parasitic	Toxoplasmosis
map05140	Human Diseases	Infectious disease: parasitic	Leishmaniasis
map05142	Human Diseases	Infectious disease: parasitic	Chagas disease (American trypanosomiasis)
map05143	Human Diseases	Infectious disease: parasitic	African trypanosomiasis
map01501	Human Diseases	Drug resistance: antimicrobial	beta-Lactam resistance
map01502	Human Diseases	Drug resistance: antimicrobial	Vancomycin resistance
map01503	Human Diseases	Drug resistance: antimicrobial	Cationic antimicrobial peptide (CAMP) resistance
map01521	Human Diseases	Drug resistance: antineoplastic	EGFR tyrosine kinase inhibitor resistance
map01524	Human Diseases	Drug resistance: antineoplastic	Platinum drug resistance
map01523	Human Diseases	Drug resistance: antineoplastic	Antifolate resistance
map01522	Human Diseases	Drug resistance: antineoplastic	Endocrine resistance
map07011	Drug Development	Chronology: Antiinfectives	Penicillins
map07012	Drug Development	Chronology: Antiinfectives	Cephalosporins - parenteral agents
map07013	Drug Development	Chronology: Antiinfectives	Cephalosporins - oral agents
map07021	Drug Development	Chronology: Antiinfectives	Aminoglycosides
map07019	Drug Development	Chronology: Antiinfectives	Tetracyclines
map07020	Drug Development	Chronology: Antiinfectives	Macrolides and ketolides
map07014	Drug Development	Chronology: Antiinfectives	Quinolones
map07023	Drug Development	Chronology: Antiinfectives	Rifamycins
map07026	Drug Development	Chronology: Antiinfectives	Antifungal agents
map07044	Drug Development	Chronology: Antiinfectives	Antiviral agents
map07053	Drug Development	Chronology: Antiinfectives	Anti-HIV agents
map07040	Drug Development	Chronology: Antineoplastics	Antineoplastics - alkylating agents
map07041	Drug Development	Chronology: Antineoplastics	Antineoplastics - antimetabolic agents
map07042	Drug Development	Chronology: Antineoplastics	Antineoplastics - agents from natural products
map07043	Drug Development	Chronology: Antineoplastics	Antineoplastics - hormones
map07045	Drug Development	Chronology: Antineoplastics	Antineoplastics - protein kinases inhibitors
map07032	Drug Development	Chronology: Nervous system agents	Hypnotics
map07030	Drug Development	Chronology: Nervous system agents	Anxiolytics
map07033	Drug Development	Chronology: Nervous system agents	Anticonvulsants
map07015	Drug Development	Chronology: Nervous system agents	Local analgesics
map07039	Drug Development	Chronology: Nervous system agents	Opioid analgesics
map07028	Drug Development	Chronology: Nervous system agents	Antipsychotics
map07029	Drug Development	Chronology: Nervous system agents	Antipsychotics - phenothiazines
map07031	Drug Development	Chronology: Nervous system agents	Antipsychotics - butyrophenones
map07027	Drug Development	Chronology: Nervous system agents	Antidepressants
map07056	Drug Development	Chronology: Nervous system agents	Agents for Alzheimer-type dementia
map07057	Drug Development	Chronology: Nervous system agents	Antiparkinsonian agents
map07055	Drug Development	Chronology: Other drugs	Sulfonamide derivatives - overview
map07016	Drug Development	Chronology: Other drugs	Sulfonamide derivatives - sulfa drugs
map07017	Drug Development	Chronology: Other drugs	Sulfonamide derivatives - diuretics
map07018	Drug Development	Chronology: Other drugs	Sulfonamide derivatives - hypoglycemic agents
map07037	Drug Development	Chronology: Other drugs	Antiarrhythmic drugs
map07038	Drug Development	Chronology: Other drugs	Antiulcer drugs
map07046	Drug Development	Chronology: Other drugs	Immunosuppressive agents
map07047	Drug Development	Chronology: Other drugs	Osteoporosis drugs
map07048	Drug Development	Chronology: Other drugs	Antimigraines
map07049	Drug Development	Chronology: Other drugs	Antithrombosis agents
map07050	Drug Development	Chronology: Other drugs	Antirheumatics - DMARDs and biological agents
map07051	Drug Development	Chronology: Other drugs	Antidiabetics
map07052	Drug Development	Chronology: Other drugs	Antidyslipidemic agents
map07054	Drug Development	Chronology: Other drugs	Antiglaucoma agents
map07220	Drug Development	Target-based classification: G protein-coupled receptors	Cholinergic and anticholinergic drugs
map07215	Drug Development	Target-based classification: G protein-coupled receptors	alpha-Adrenergic receptor agonists/antagonists
map07214	Drug Development	Target-based classification: G protein-coupled receptors	beta-Adrenergic receptor agonists/antagonists
map07213	Drug Development	Target-based classification: G protein-coupled receptors	Dopamine receptor agonists/antagonists
map07212	Drug Development	Target-based classification: G protein-coupled receptors	Histamine H1 receptor antagonists
map07227	Drug Development	Target-based classification: G protein-coupled receptors	Histamine H2/H3 receptor agonists/antagonists
map07211	Drug Development	Target-based classification: G protein-coupled receptors	Serotonin receptor agonists/antagonists
map07228	Drug Development	Target-based classification: G protein-coupled receptors	Eicosanoid receptor agonists/antagonists
map07224	Drug Development	Target-based classification: G protein-coupled receptors	Opioid receptor agonists/antagonists
map07229	Drug Development	Target-based classification: G protein-coupled receptors	Angiotensin receptor and endothelin receptor antagonists
map07225	Drug Development	Target-based classification: Nuclear receptors	Glucocorticoid and mineralocorticoid receptor agonists/antagonists
map07226	Drug Development	Target-based classification: Nuclear receptors	Progesterone, androgen and estrogen receptor agonists/antagonists
map07223	Drug Development	Target-based classification: Nuclear receptors	Retinoic acid receptor (RAR) and retinoid X receptor (RXR) agonists/antagonists
map07222	Drug Development	Target-based classification: Nuclear receptors	Peroxisome proliferator-activated receptor (PPAR) agonists
map07221	Drug Development	Target-based classification: Ion channels	Nicotinic cholinergic receptor antagonists
map07230	Drug Development	Target-based classification: Ion channels	GABA-A receptor agonists/antagonists
map07036	Drug Development	Target-based classification: Ion channels	Calcium channel blocking drugs
map07231	Drug Development	Target-based classification: Ion channels	Sodium channel blocking drugs
map07232	Drug Development	Target-based classification: Ion channels	Potassium channel blocking and opening drugs
map07235	Drug Development	Target-based classification: Ion channels	N-Metyl-D-aspartic acid receptor antagonists
map07233	Drug Development	Target-based classification: Transporters	Ion transporter inhibitors
map07234	Drug Development	Target-based classification: Transporters	Neurotransmitter transporter inhibitors
map07216	Drug Development	Target-based classification: Enzymes	Catecholamine transferase inhibitors
map07219	Drug Development	Target-based classification: Enzymes	Cyclooxygenase inhibitors
map07024	Drug Development	Target-based classification: Enzymes	HMG-CoA reductase inhibitors
map07217	Drug Development	Target-based classification: Enzymes	Renin-angiotensin system inhibitors
map07218	Drug Development	Target-based classification: Enzymes	HIV protease inhibitors
map07025	Drug Development	Structure-based classification	Quinolines
map07034	Drug Development	Structure-based classification	Eicosanoids
map07035	Drug Development	Structure-based classification	Prostaglandins
map07110	Drug Development	Skeleton-based classification	Benzoic acid family
map07112	Drug Development	Skeleton-based classification	1,2-Diphenyl substitution family
map07114	Drug Development	Skeleton-based classification	Naphthalene family
map07117	Drug Development	Skeleton-based classification	Benzodiazepine family
